time,second,totalvolt(V),totalcurrent(A),excitvolt(V),excitcurrent(A),phaseAvolt(V),phaseBvolt(V),phaseCvolt(V)
2022.08.31  09:19:19,17,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:20,18,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:21,19,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:22,20,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:23,21,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:24,22,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:25,23,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:26,24,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:27,25,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:28,26,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:29,27,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:30,28,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:31,29,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:32,30,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:33,31,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:34,32,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:35,33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:36,34,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:37,35,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:38,36,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:39,37,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:40,38,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:41,39,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:42,40,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:43,41,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:44,42,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:45,43,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:46,44,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:47,45,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:48,46,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:49,47,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:50,48,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:51,49,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:52,50,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:53,51,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:54,52,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:55,53,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:56,54,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:57,55,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:58,56,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:19:59,57,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:00,58,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:01,59,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:02,0,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:03,1,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:04,2,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:05,3,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:06,4,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:07,5,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:08,6,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:09,7,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:10,8,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:11,9,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:12,10,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:13,11,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:14,12,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:15,13,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:16,14,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:17,15,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:18,16,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:19,17,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:20,18,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:21,19,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:22,20,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:23,21,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:24,22,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:25,23,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:26,24,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:27,25,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:28,26,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:29,27,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:30,28,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:31,29,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:32,30,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:33,31,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:34,32,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:35,33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:36,34,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:37,35,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:38,36,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:39,37,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:40,38,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:41,39,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:42,40,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:43,41,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:44,42,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:45,43,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:46,44,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:47,45,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:48,46,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:49,47,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:50,48,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:51,49,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:52,50,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:53,51,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:54,52,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:55,53,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:56,54,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:57,55,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:58,56,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:20:59,57,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:00,58,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:01,59,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:02,0,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:03,1,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:04,2,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:05,3,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:06,4,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:07,5,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:08,6,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:09,7,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:10,8,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:11,9,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:12,10,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:13,11,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:14,12,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:15,13,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:16,14,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:17,15,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:18,16,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:19,17,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:20,18,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:21,19,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:22,20,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:23,21,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:24,22,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:25,23,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:26,24,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:27,25,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:28,26,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:29,27,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:30,28,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:31,29,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:32,30,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:33,31,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:34,32,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:35,33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:36,34,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:37,35,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:38,36,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:39,37,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:40,38,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:41,39,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:42,40,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:43,41,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:44,42,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:45,43,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:46,44,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:47,45,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:48,46,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:49,47,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:50,48,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:51,49,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:52,50,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:53,51,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:54,52,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:55,53,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:56,54,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:57,55,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:58,56,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:21:59,57,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:00,58,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:01,59,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:02,0,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:03,1,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:04,2,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:05,3,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:06,4,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:07,5,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:08,6,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:09,7,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:10,8,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:11,9,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:12,10,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:13,11,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:14,12,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:15,13,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:16,14,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:17,15,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:18,16,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:19,17,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:20,18,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:21,19,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:22,20,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:23,21,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:24,22,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:25,23,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:26,24,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:27,25,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:28,26,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:29,27,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:30,28,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:31,29,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:32,30,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:33,31,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:34,32,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:35,33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:36,34,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:37,35,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:38,36,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  09:22:39,37,0.33,0.33,0.33,0.33,0.33,0.33,0.33
