time,second,totalvolt(V),totalcurrent(A),excitvolt(V),excitcurrent(A),phaseAvolt(V),phaseBvolt(V),phaseCvolt(V)
2022.08.31  13:19:19,17,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:20,18,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:21,19,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:22,20,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:23,21,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:24,22,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:25,23,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:26,24,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:27,25,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:28,26,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:29,27,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:30,28,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:31,29,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:32,30,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:33,31,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:34,32,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:35,33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:36,34,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:37,35,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:38,36,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:39,37,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:40,38,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:41,39,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:42,40,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:43,41,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:44,42,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:45,43,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:46,44,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:47,45,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:48,46,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:49,47,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:50,48,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:51,49,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:52,50,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:53,51,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:54,52,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:55,53,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:56,54,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:57,55,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:58,56,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:19:59,57,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:00,58,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:01,59,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:02,0,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:03,1,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:04,2,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:05,3,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:06,4,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:07,5,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:08,6,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:09,7,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:10,8,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:11,9,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:12,10,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:13,11,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:14,12,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:15,13,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:16,14,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:17,15,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:18,16,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:19,17,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:20,18,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:21,19,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:22,20,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:23,21,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:24,22,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:25,23,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:26,24,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:27,25,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:28,26,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:29,27,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:30,28,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:31,29,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:32,30,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:33,31,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:34,32,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:35,33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:36,34,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:37,35,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:38,36,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:39,37,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:40,38,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:41,39,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:42,40,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:43,41,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:44,42,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:45,43,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:46,44,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:47,45,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:48,46,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:49,47,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:50,48,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:51,49,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:52,50,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:53,51,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:54,52,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:55,53,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:56,54,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:57,55,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:58,56,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:20:59,57,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:00,58,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:01,59,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:02,0,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:03,1,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:04,2,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:05,3,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:06,4,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:07,5,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:08,6,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:09,7,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:10,8,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:11,9,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:12,10,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:13,11,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:14,12,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:15,13,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:16,14,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:17,15,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:18,16,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:19,17,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:20,18,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:21,19,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:22,20,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:23,21,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:24,22,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:25,23,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:26,24,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:27,25,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:28,26,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:29,27,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:30,28,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:31,29,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:32,30,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:33,31,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:34,32,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:35,33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:36,34,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:37,35,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:38,36,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:39,37,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:40,38,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:41,39,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:42,40,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:43,41,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:44,42,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:45,43,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:46,44,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:47,45,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:48,46,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:49,47,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:50,48,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:51,49,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:52,50,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:53,51,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:54,52,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:55,53,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:56,54,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:57,55,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:58,56,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:21:59,57,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:00,58,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:01,59,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:02,0,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:03,1,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:04,2,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:05,3,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:06,4,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:07,5,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:08,6,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:09,7,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:10,8,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:11,9,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:12,10,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:13,11,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:14,12,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:15,13,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:16,14,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:17,15,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:18,16,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:19,17,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:20,18,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:21,19,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:22,20,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:23,21,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:24,22,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:25,23,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:26,24,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:27,25,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:28,26,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:29,27,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:30,28,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:31,29,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:32,30,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:33,31,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:34,32,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:35,33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:36,34,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:37,35,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:38,36,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:39,37,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:40,38,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:41,39,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:42,40,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:43,41,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:44,42,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:45,43,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:46,44,0.33,0.33,0.33,0.33,0.33,0.33,0.33
2022.08.31  13:22:47,45,0.33,0.33,0.33,0.33,0.33,0.33,0.33
